Tweet Permalink	Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
https://twitter.com/Teetitria1/status/1214674192311955458	1214674192311955458	@Teetitria1	2020-01-08 03:54:29	Life's "so EASY IT'S, IT'S HARD"! According 2 GOD'S WORD & actual events, the END is NEAR. No time for business as usual, STATUS QUO, moderate. If NOTHING else convinces us, Climate change (natural disasters), government corruption, Trump, McConnell, GOP should!!.	0	Tweet
https://twitter.com/sherisherman732/status/1214560881511550977	1214560881511550977	@sherisherman732	2020-01-07 20:24:14	@ BarackObama @ BillGates @ BillClinton @ HillaryClinton @ algore @ AOC @ JoeBiden @ EUCouncil @ JaredLeto @EJF @ Greenpeace @ amnesty @ Refugees @ UNHumanRights An Article On Our Near Triumph Over Climate Change Decades Ago & What We Face Now. We Cannot Fail Again. Pls read. Ty. https://twitter.com/sherisherman732/status/1214558919475056640 …	0	Retweet
https://twitter.com/rhythmshrt/status/1213957680437575680	1213957680437575680	@rhythmshrt	2020-01-06 04:27:19	@ BarackObama what are you doing to help fight climate change? Please help us	0	Tweet
https://twitter.com/RedHotCoach/status/1213949842151469056	1213949842151469056	@RedHotCoach	2020-01-06 03:56:11	@ BarackObama left America in a terrible mess. Rogue Democrats, swamp officials, out of control FBI/CIA officials, corruption, Joe Biden, rampant planned Parenthood, Anti-US regulations, Climate Change farce, Israel animus, bold intolerant LGBQT lobby, debt, weak military. https://twitter.com/BreitbartNews/status/1213943939482423296 …	0	Retweet
https://twitter.com/theonlyrealash/status/1213371104678445056	1213371104678445056	@theonlyrealash	2020-01-04 13:36:29	@ BarackObama Wishing you a new year & new decade filled with light, beauty & magic. Light WILL win over the dark, and the crisis facing the human family from climate change WILL indeed be resolved over one critical decade we are embarking on together. Love always, Avi+Ash pic.twitter.com/EvynmV0PBZ	1	Tweet
https://twitter.com/ChantelDonaghy/status/1213316625090437120	1213316625090437120	@ChantelDonaghy	2020-01-04 10:00:00	And here's to new years, new resolutions and more climate change	0	Tweet
https://twitter.com/deucedogg/status/1212946338746265605	1212946338746265605	@deucedogg	2020-01-03 09:28:37	@ BarackObama I wanted to suggest a few changes to your description American enemy, coup manager, Iranian Muslim, traitor, Hillary's patsy, climate change snake oil salesman (let's be real, you bought a mansion on the beach... Indicating you don't even believe your own bullsh*t)	0	Tweet
https://twitter.com/AutodeskFdn/status/1212834451291549697	1212834451291549697	@AutodeskFdn	2020-01-03 02:04:01	@ BarackObama “Climate change is an existential issue. It’s one of those [issues] where you can be too late and find, at least in human understanding and time horizons, it becomes irreversible. So I know of no issue that is more urgent than that.” https://autode.sk/2Q2e5ND pic.twitter.com/QrNvpIGri3	0	Tweet
https://twitter.com/Jam35AU/status/1212709346095710209	1212709346095710209	@Jam35AU	2020-01-02 17:46:53	Mr Obama. My country is burning, we're only 1/3 of the way through the hottest summer on record, and we have a political class that isn't taking legitimate action on climate change. We need your voice. Please show your followers what is happening in Australia right now.	0	Tweet
https://twitter.com/BigLove90185121/status/1212686183395758082	1212686183395758082	@BigLove90185121	2020-01-02 16:14:51	@ BarackObama @ Pontifex if YOUR GOVERNMENT WAS FORCED TO HAVE TO CHOOSE WHO TO SAVE FROM CLIMATE CHANGE WOULD THEY CHOOSE YOU	0	Tweet
https://twitter.com/kshantaram2/status/1212632072935755776	1212632072935755776	@kshantaram2	2020-01-02 12:39:50	Happy new year with korean missiles, trade wars, rascism, gun culture, no climate change, impeachment, etc etc??? - why did democrats afford to lose inspite of so much health care?? any accountability?? howdymodi and fundamentalism encouraged??	0	Tweet
https://twitter.com/Michael_Lemieux/status/1212605576401715201	1212605576401715201	@Michael_Lemieux	2020-01-02 10:54:33	Enjoy your new house, sure hope climate change doesn't raise sea levels to your buddy Gore's scare tactic levels, your insurance might not cover that.	0	Tweet
https://twitter.com/hasansi00846457/status/1212547984308801536	1212547984308801536	@hasansi00846457	2020-01-02 07:05:42	No heathy can expect without a safe environment. What for climate change......	0	Tweet
https://twitter.com/Bert3902/status/1212543856144723970	1212543856144723970	@Bert3902	2020-01-02 06:49:17	No picture of you in your 15 million dollar home on the beach in an all white neighborhood that’s gated while you preach income inequality, open borders and climate change???	0	Tweet
https://twitter.com/jaarthur_sr/status/1212432511768219649	1212432511768219649	@jaarthur_sr	2020-01-01 23:26:51	Happy New Year to you Mr President and First Lady and may 2020 be yours and the worlds best year for World Peace, Community and reversing the effects of Climate Change because together Yes We Can! # RESIST	0	Tweet
https://twitter.com/markloh1/status/1212231915563937793	1212231915563937793	@markloh1	2020-01-01 10:09:45	And not one book on the existential crisis of our time: climate change.	0	Tweet
